"DESCRIPTION_RPA"|"CODE_RPA"
"PARC DU MONT-ROYAL"|"I5303PE"
"QUARTIER DES SPECTACLES"|"I5303PF"
"VIEUX-MONTREAL"|"I5303PG"
"CANAL DE LACHINE - ATWATER"|"I5303PH"
"BERGES DE VERDUN"|"I5303PK"
"DETOUR BELVEDERE CAMILLIEN-HOUDE"|"I5303PL"
"BELVEDERE CAMILLIEN-HOUDE"|"I5303PM"
"CENTRE BELL"|"I5304AC"
"CENTRE CANADIEN D'ARCHITECTURE"|"I5304AD"
"CENTRE INFOTOURISTE"|"I5304AE"
"MUSEE D'ART CONTEMPORAIN"|"I5304AJ"
"MUSEE DES BEAUX-ARTS"|"I5304AK"
"MUSEE MCCORD"|"I5304AL"
"POINTE-A-CALLIERE"|"I5304AQ"
"CENTRE DE COMMERCE MONDIAL"|"I5304AR"
"STADE UNIPRIX"|"I5304AS"
"CHATEAU RAMEZAY"|"I5304AU"
"MUSEE GREVIN"|"I5304AZ"
"HOTEL DE VILLE"|"I5304PB"
"MONT ROYAL - ORATOIRE"|"I5304PC"
"QUARTIER DES SPECTACLES"|"I5304PF"
"VIEUX-MONTREAL"|"I5304PG"
"CANAL DE LACHINE - ATWATER"|"I5304PH"
"PANONCEAU BLEU JCT (JONCTION)"|"JCT-B"
"PANONCEAU VERT JCT (JONCTION)"|"JCT-V"
"P 2H"|"LAC-16"
"P 2H - 8H @ 18H LUN AU VEN"|"LAC-17"
"P 60 MIN"|"LAC-18"
"\ARRÊT INTERDIT"|"LAC-2"
"P 30 MIN - 9H @ 16H LUN AU SAM"|"LAC-20"
"P 60 MIN - 9H @ 18H LUN AU SAM"|"LAC-21"
"P 30 MIN - POSTE DE POLICE"|"LAC-22"
"P 10 MIN - 7H @ 8H - 15H @ 16H LUN AU VEN"|"LAC-23"
"DÉBARCADÈRE"|"LAC-24"
"DÉBARCADÈRE 15 MIN 7H @ 9H"|"LAC-25"
"P RÉSERVÉ AUX VISITEURS DE L'ÉGLISE - DIMANCHE 10H @14H"|"LAC-26"
"P RÉSERVÉ EN TOUT TEMPS DÉTENTEURS DE PERMIS #"|"LAC-27"
"P RÉSERVÉ LUN AU VEN 18 @ 8H ET SAM-DIM DÉTENTEURS DE PERMIS #11"|"LAC-28"
"P RÉSERVÉ SEULEMENT DÉTENTEURS DE PERMIS #"|"LAC-29"
"\ARRÊT INTERDIT (FLÈCHE)"|"LAC-3"
"P 2H - 9H @ 16H EXCEPTÉ MARDI"|"LAC-30"
"\P 8H @ 17H LUN-MER-VEN"|"LAC-33"
"\P 8H @ 17H MARDI-JEUDI"|"LAC-34"
"\P 9H @ 16H MARDI"|"LAC-35"
"\P 9H @ 16H JEUDI"|"LAC-36"
"\P DÉBARCADÈRE LUNDI AU VENDREDI 7H @ 17H"|"LAC-37"
"\P 6H @ 12H LUN AU VEN"|"LAC-38"
"\P 9H @ 17H LUN AU VEN"|"LAC-39"
"\ARRÊT INTERDIT (HEURE)"|"LAC-4"
"\P 7H @ 9H LUNDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-40"
"\P 9H @ 12H LUNDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-41"
"\P 9H @ 16H LUNDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-42"
"\P 7H @ 9H MARDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-43"
"\P 9H @ 16H MARDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-44"
"\P 7H @ 9H MERCREDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-45"
"\P 9H @ 12H MERCREDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-46"
"\P 9H @ 16H MERCREDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-47"
"\P 9H @ 16H JEUDI 1 AVRIL AU 15 NOVEMBRE"|"LAC-48"
"\P 7H @ 17H LUN AU VEN"|"LAC-49"
"\P RÉSERVÉ FAMILLE NOMBREUSE"|"LAC-5"
"\P D'ICI AU COIN"|"LAC-50"
"\P (FLÈCHE SEULEMENT)"|"LAC-51"
"\P (STATIONNEMENT INTERDIT)"|"LAC-52"
"\P RÈGL. 2027"|"LAC-53"
"\P 9H @ 16H VEN-SAM-DIM"|"LAC-55"
"\P 9H @ 16H LUN-MAR-MER-JEU"|"LAC-56"
"\P 9H @ 18H"|"LAC-57"
"\P 18H @ 9H"|"LAC-58"
"\P 15 AVRIL AU 15 OCTOBRE"|"LAC-59"
"\CAMION EXCEPTÉ LIVRAISON LOCALE"|"LAC-62"
"\ CHIEN INTERDIT"|"LAC-63"
"\CHIEN INTERDIT PARC"|"LAC-64"
"TRAVERSE DE PIÉTON"|"LAC-66"
"\P RÉSERVÉ PERSONNE HANDICAPÉE"|"LAC-7"
"TRAVERSE POUR ENFANTS PRÈS DES PARCS"|"LAC-70"
"AVIS DE PRIORITÉ AUX PIÉTONS AVEC AMENDE"|"LAC-74"
"PANCARTE ZONE D'ÉCOLE (JAUNE)"|"LAC-75"
"\ARRÊT INTERDIT ZONE D'AUTOBUS"|"LAC-8"
"PANNEAU STM"|"LAC-9"
"PANNEAU ANNULE"|"LD-DH"
"PANNEAU ANNULE"|"LD-TA"
"PARC-LOGO VILLE - INSTALLER SUR FUT CARRE 12'(CODE_RPA 3-1)"|"LO-GO-F"
"PANNEAU ANNULE"|"LS-JN"
"PANNEAU ANNULE"|"LS-JR"
"PANNEAU ANNULE"|"LS-JT"
"PANNEAU ANNULE"|"LV-JN"
"NOM DE RUE DU VIEUX MTL - 1 FACE  (POUR BATIMENT)"|"NR-R"
"NOM DE RUE DU VIEUX MTL - 2 FACES (POUR LAMPADAIRE)"|"NR-RV"
"Toponyme"|"NR-U"
"ORIFLAMME"|"ORI-SUPP"
"ORIFLAMME"|"ORI-SUPP1"
"CENTRE COMMUNAUTAIRE INTERGENERATIONNEL"|"OUT-A-01"
"BIBLIOTHEQUE GALERIE D'ART"|"OUT-A-02"
"THEATRE OUTREMONT 0.8"|"OUT-A-03"
"THEATRE OUTREMONT 1.4"|"OUT-A-04"
"THEATRE OUTREMONT 1.5"|"OUT-A-05"
"P THEATRE OUTREMONT"|"OUT-A-06"
"FACULTE DE MUSIQUE (UdeM)"|"OUT-A-08"
"UNIVERSITE DE MONTREAL - HEC HOPITAL SAINTE-JUSTINE | COTE-DES-NEIGES VIA CHEMIN BATES"|"OUT-A-09"
"ACHEMINEMENT BATES, VILLE MONT-ROYAL"|"OUT-A-10"
"VIADUC VIA CHEMIN BATES"|"OUT-A-11"
"VIA BATES ET VAN HORNE"|"OUT-A-12"
"ACHEMINEMENT No 30 AGE D'OR"|"OUT-A-13"
"ACHEMINEMENT 32, AV. ST-JUST"|"OUT-A-14"
"ACHEMINEMENT AVENUE MAPLEWOOD ET AVENUE SPRINGGROVE"|"OUT-A-15"
"ACHEMINEMENT CHEMIN DE LA FORET"|"OUT-A-16"
"ACHEMINEMENT BOULEVARD MONT-ROYAL DIRECTION OUEST"|"OUT-A-17"
"ACHEMINEMENT CIMETIERE MONT-ROYAL COMPLEXE FUNERAIRE MONT-ROYAL"|"OUT-A-18"
"\A ARRET D'AUTOBUS"|"OUT-AD-15"
"\A 7h - 7h30 LUNDI 1er AVRIL - 30 NOV"|"OUT-ADN-01"
"\A 7h - 8h LUNDI 1er AVRIL - 30 NOV"|"OUT-ADN-02"
"\A 10h -12h LUNDI 1er AVRIL - 30 NOV"|"OUT-ADN-04"
"\A 10h -12h MARDI 1er AVRIL - 30 NOV"|"OUT-ADN-07"
"\A 6h -8h MERCREDI 1er AVRIL - 30 NOV"|"OUT-ADN-08"
"\A 8h -10h MERCREDI 1er AVRIL - 30 NOV"|"OUT-ADN-10"
"\A 6h -8h JEUDI 1er AVRIL - 30 NOV"|"OUT-ADN-11"
"\A 7h - 8h JEUDI 1er AVRIL - 30 NOV"|"OUT-ADN-12"
"\A 7h - 7h30 JEUDI 1er AVRIL - 30 NOV"|"OUT-ADN-12-1"
"\A 7h - 7h30 VENDREDI 1er AVRIL - 30 NOV"|"OUT-ADN-14"
"\A 8h - 10h VENDREDI 1er AVRIL - 30 NOV"|"OUT-ADN-16"
"\A 10h - 12h VENDREDI 1er AVRIL - 30 NOV"|"OUT-ADN-17"
"\A 14h - 16h VENDREDI 1er AVRIL - 30 NOV"|"OUT-ADN-18"
"\A 7h - 8h LUN et  MER 1er AVRIL - 30 NOV"|"OUT-ADN-19"
"\A 8h - 9h LUN et MER 1er AVRIL - 30 NOV"|"OUT-ADN-20"
"\A 6h30 - 9h LUN et JEU 1er AVRIL - 30 NOV"|"OUT-ADN-21"
"\A 8h - 9h LUN et JEU 1er AVRIL - 30 NOV"|"OUT-ADN-22"
"\A 7h - 8h MAR et JEU 1er AVRIL - 30 NOV"|"OUT-ADN-23"
"\A 8h - 9h MAR et JEU 1er AVRIL - 30 NOV"|"OUT-ADN-24"
"\A 6h30 - 9h MAR et VEN 1er AVRIL - 30 NOV"|"OUT-ADN-25"
"\A 8h - 9h MER ET VEN 1er AVRIL - 30 NOV"|"OUT-ADN-27"
"\A 7h - 9h LUN À VEN"|"OUT-ADP-01"
"\A 15h30 - 18h LUN À VEN"|"OUT-ADP-03"
"\A EN TOUT TEMPS SUR 5m"|"OUT-ADP-04"
"\A 8h - 9h et 16h - 17h LUN À VEN"|"OUT-ADP-05"
"\A 8h-17h LUNDI À SAMEDI"|"OUT-ADP-06"
"OUTREMONT"|"OUT-D-01"
"OUTREMONT, STYLE 2"|"OUT-D-02"
"ATTENTION A NOS ENFANTS"|"OUT-D-03"
"VILLE JUMELEE AVEC LE VESINET OAKWOOD"|"OUT-D-04"
"PRIERE DE NE PAS KLAXONNER PLEASE REFRAIN FROM HONKING"|"OUT-D-05"
"TEMPS D'ATTENTE PROLONGE S.V.P ATTENDRE LE FEU VERT"|"OUT-D-06"
"ATTENTION URGENCE INCENDIE"|"OUT-D-08"
"ATTENTION SORTIE URGENCE INCENDIE"|"OUT-D-09"
"IL EST INTERDIT DE FLANER DANS CET ESCALIER"|"OUT-D-10"
"SORTIE DE GARAGE"|"OUT-D-11"
"PIÉTONS PRESSEZ LE BOUTON"|"OUT-D-12"
"ATTENTION À NOS AÎNÉS (fond blanc)"|"OUT-D-14"
"ATTENTION À NOS AÎNÉS (fond jaune)"|"OUT-D-15"
"Mini-radar (afficheur de vitesse)"|"OUT-D-16"
"Panonceau limite de vitesse 40 km/h pour mini-radar (afficheur de vitesse)"|"OUT-D-18"
"Période de tarification - stationnement hors-rue n° 1 - viaduc Rockland"|"OUT-D-19"
"Espace réservé - Sécurité publique"|"OUT-D-20"
"Espace réservé - Directeur Sécurité publique"|"OUT-D-21"
"PARC IRMA-LEVASSEUR"|"OUT-NMP-05"
"PARC CANIN"|"OUT-NP-02"
"PARC DE VIMY"|"OUT-NP-03"
"PLACE DELIA-TETREAULT"|"OUT-NP-04"
"PARC DUNLOP"|"OUT-NP-05"
"PARC GARNEAU"|"OUT-NP-06"
"PARC JOHN F. KENNEDY"|"OUT-NP-07"
"PARC JOYCE"|"OUT-NP-08"
"PARC OUTREMONT"|"OUT-NP-11"
"PARC SAINT-VIATEUR"|"OUT-NP-13"
"PARC IRMA-LEVASSEUR"|"OUT-NP-16"
"INTERDICTION DE VOITURE CONTRAVENTION 50$  | PRESCRIPTION DE DEBARQUER DE SON VELO CONTRAVENTION 100$  | INTERDICTION DE CHIEN CONTRAVENTION 100$ |  HEURES D'OUVERTURE DU PARC 7h - 23h contravention 300$ TE"|"OUT-PP-01"
"INTERDICTION DE VELOS ET DE CHIENS"|"OUT-PP-02"
"INTERDICTION DE VELOS ET DE CHIENS, STYLE 2"|"OUT-PP-03"
"HEURES D'OUVERTURE 7h - 23h"|"OUT-PP-04"
"Interdiction de laisser les chiens déféquer"|"OUT-PP-05"
"Obligation de jeter les papiers à la poubelle"|"OUT-PP-07"
"A OUTREMONT LA VITESSE LIMITE EST DE 40 KM/H \P REMORQUAGE"|"OUT-PR-01"
"SAUF AUTOBUS POUR EVENEMENTS SPECIAUX 7h00 - 21h30"|"OUT-PR-02"
"RI-B AVEC ROCKLAND"|"OUT-PR-03"
"RI-C AVEC DAVAAR"|"OUT-PR-04"
"RI-C AVEC JEAN-TALON"|"OUT-PR-05"
"VITESSE RECOMMANDE de 15 km/h"|"OUT-PR-06"
"RALENTIR"|"OUT-PR-07"
"LENTEMENT"|"OUT-PR-08"
"16h A 19h"|"OUT-PR-10"
"PANNONCEAU AMENDE !48$ et 3 POINTS"|"OUT-PR-12"
"COLLECTE DES ORDURES MENAGERES LUNDI JEUDI DEPOT DES ORDURES MENAGERES LE JOUR DE LA COLLECTE SEULEMENT, ENTRE 5h30 et 8h."|"OUT-PR-13"
"RADAR"|"OUT-PR-14"
"SENS UNIQUE ESCALIER VERS COTE-SAINTE-CATHERINE"|"OUT-PR-15"
"PISTE CYCLABLE 01 AVR. - 15 NOV."|"OUT-PR-16"
"accès interdit aux autobus scolaires"|"OUT-PR-17"
"Interdiction d'attacher les vélos (100 mm x 100 mm)"|"OUT-PR-18"
"Arrêt dépliant"|"OUT-PR-19"
"excepté autobus scolaires"|"OUT-PR-20"
"\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV | P DEBARCADERE MAX 15 min."|"OUT-SC-15"
"\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV | P MAX 2h 8h - 22h LUN. AU VEN."|"OUT-SC-16"
"\P 19h DIMANCHE À 19h MERCREDI | P DÉBARCADÈRE MAX 15 min.19h MERCREDI À 19h DIMANCHE"|"OUT-SC-19"
"\P 9h - 11h MERCREDI 1ER AVRIL - 30 NOV | P DEBARCADERE MAX 15 min. 7h30 - 18h LUN. AU VEN."|"OUT-SC-21"
"\P RESERVE CORPS DIPLOMATIQUE \P 8h - 12h JEUDI 1ER AVRIL - 30 NOV"|"OUT-SD-42"
"\P 19h DIMANCHE A 19h MERCREDI"|"OUT-SDA-01"
"\P 19h MERCREDI A 19h DIMANCHE"|"OUT-SDA-02"
"P\   19h mercredi à 19h dimanche   30 nov - 1er avril"|"OUT-SDA-02-A"
"\P 8h JEUDI A 8h LUNDI"|"OUT-SDA-03"
"\P 8h LUNDI A 8h JEUDI"|"OUT-SDA-04"
"\P 9h - 17h LUNDI MARDI MERCREDI"|"OUT-SDA-05"
"\P 9h - 17h JEUDI VENDREDI"|"OUT-SDA-06"
"\P EXCEPTE AUTOBUS SCOLAIRE"|"OUT-SDE-01"
"\P 7h30 - 16h LUN À VEN EXCEPTE AUTOBUS SCOLAIRE "|"OUT-SDE-02"
"\P 8h - 16h JOURS D'ECOLE EXCEPTE AUTOBUS SCOLAIRES"|"OUT-SDE-06"
"\P 8h - 18h LUN À VEN EXCEPTE AUTOBUS SCOLAIRE "|"OUT-SDE-07"
"\P 7h30 - 8h30 et 15h - 16h30 JOURS D'ECOLE"|"OUT-SDE-08"
"\P 7h30 - 9h30 et 14h30 - 16h LUN À VEN EXCEPTE AUTOBUS SCOLAIRES"|"OUT-SDE-08-A"
"\P 8h - 10h et 15h - 17h LUN À VEN EXCEPTE AUTOBUS SCOLAIRE "|"OUT-SDE-10"
"\p 8h - 10h et 14h - 17h30 lun à ven excepté autobus scolaire"|"OUT-SDE-10-1"
"\P 8h-10h et 14h-16h LUN A VEN EXCEPTE AUTOBUS SCOLAIRE"|"OUT-SDE-10-B"
"\P 8h30 - 10h30 et 14h - 16h lun à jeu 8h30-10h et 12h - 13h vendredi excepté autobus scolaire"|"OUT-SDE-11-A"
"\P ZONE D'ATTENTE MAX 5 MIN 8h - 10h ET 15h30 -17h30 LUN À VEN"|"OUT-SDE-13"
"\P 8h - 8h30 ET 14h45 - 15h30 LUNDI AU VENDREDI EXCEPTE AUTOBUS SCOLAIRE"|"OUT-SDE-14"
"\P 8h - 18h LUN À SAM EXCEPTE LIVRAISON "|"OUT-SDL-02"
"\P 8h - 16h LUN À VEN EXCEPTE LIVRAISON "|"OUT-SDL-03"
"\P EXCEPTE LIVRAISON 8h - 16h LUN À VEN"|"OUT-SDL-04"
"\P 8h - 16h MAR À SAM EXCEPTÉ LIVRAISON"|"OUT-SDL-05"
"\P 8h -17h LUN À VEN EXCEPTÉ LIVRAISON"|"OUT-SDL-06"
"\P 8h-14h LUN A VEN EXCEPTE LIVRAISON"|"OUT-SDL-06-A"
"\P 8h - 10h LUNDI 1er AVRIL - 30 NOV"|"OUT-SDN-01"
"\P 8h - 12h LUNDI 1ER AVRIL - 30 NOV "|"OUT-SDN-02"
"\P 12h - 16h LUNDI 1ER AVRIL - 30 NOV"|"OUT-SDN-04"
"\P 13h - 15h LUNDI 1er AVRIL - 30 NOV"|"OUT-SDN-04-1"
"\P 8h - 12h MARDI 1ER AVRIL - 30 NOV"|"OUT-SDN-05"
"\P 10h - 12h MARDI 1er AVRIL - 30 NOV"|"OUT-SDN-05-1"
"\P 9h - 12h MARDI 1er AVRIL - 30 NOV"|"OUT-SDN-05-2"
"\P 12h - 16h MARDI 1ER AVRIL - 30 NOV"|"OUT-SDN-06"
"\P 13h - 15h MARDI 1er AVRIL - 30 NOV"|"OUT-SDN-06-1"
"\P 8h - 10h MERCREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-07"
"\P 8h - 12h MERCREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-08"
"\P 10h - 12h MERCREDI 1er AVRIL - 30 NOV"|"OUT-SDN-09-1"
"\P 12h - 16h MERCREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-10"
"\P 13h - 15h MERCREDI 1er AVRIL - 30 NOV"|"OUT-SDN-10-1"
"\P 8h - 10h JEUDI 1ER AVRIL - 30 NOV"|"OUT-SDN-11"
"\P 8h - 12h JEUDI 1ER AVRIL - 30 NOV"|"OUT-SDN-12"
"\P 10h - 12h JEUDI 1er AVRIL - 30 NOV"|"OUT-SDN-13-1"
"\P 12h - 16h JEUDI 1ER AVRIL - 30 NOV"|"OUT-SDN-14"
"\P 13h - 15h JEUDI 1er AVRIL - 30 NOV"|"OUT-SDN-14-1"
"\P 14h - 16h JEUDI 1ER AVRIL - 30 NOV"|"OUT-SDN-14-2"
"\P 7h - 9h VENDREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-15"
"\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-17"
"\P 9h - 12h VENDREDI 1er AVRIL - 30 NOV"|"OUT-SDN-17-1"
"\P 10h - 12h VENDREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-18"
"\P 12h - 15h VENDREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-19"
"\P 12h - 16h VENDREDI 1ER AVRIL - 30 NOV"|"OUT-SDN-20"
"\P 8h - 9h et 16h - 17h LUN À VEN"|"OUT-SDP-03"
"P\   9h - 22h"|"OUT-SDP-04"
"P\   10h - 24h lundi - mardi et 10h - 19h mercredi"|"OUT-SDP-05"
"P\   10h - 24h jeudi au samedi et 10h - 19h dimanche"|"OUT-SDP-06"
"\P 1ER AVRIL - 30 NOV"|"OUT-SDS-01"
"\P 30 NOV - 1ER AVRIL"|"OUT-SDS-02"
"P\   8h - 24h  30 nov - 1er avril"|"OUT-SDS-03"
"\P EXCEPTE 2h 10h - 12h LUN À VEN, 16h30 -18h30 SAMEDI ET 8h30 - 13h DIMANCHE"|"OUT-SDX-04"
"\P EXCEPTE VISITEURS POSTE DE POLICE DE QUARTIER N024"|"OUT-SDX-05"
"\P EXCEPTE VEHICULES DU SERVICE DE LA SECURITE PUBLIQUE"|"OUT-SDX-06"
"\P 7h - 24h EXCEPTE VISITEURS COURS MUNICIPALE SECURITE PUBLIQUE"|"OUT-SDX-07"
"\P EXCEPTE 8h - 12h JEUDI 1er AVRIL - 30 NOV "|"OUT-SDX-09"
"\P EXCEPTE 8h - 12h LUNDI 1er AVRIL - 30 NOV"|"OUT-SDX-10"
" \P EXCEPTE DEBARCADERE 15 MIN"|"OUT-SDX-11"
"P\ excepté motos  1er avril - 30 nov"|"OUT-SDX-12"
"\P excepté handicapés 10h - 16h"|"OUT-SDX-13"
"\P de 8h à 12h du lundi au vendredi 1 avril au 30 nov. excepté véhicules municipaux"|"OUT-SDX-14"
"P 2h 8h - 19h LUNDI, MARDI et MERCREDI"|"OUT-SPH-01"
"P 2h 8h - 19h JEUDI et VENDREDI"|"OUT-SPH-02"
"P 2h 8h-19h"|"OUT-SPH-02-A"
"P 2h 8h - 22h LUN À VEN"|"OUT-SPH-05"
"P 2h 8h - 20h LUN À SAM"|"OUT-SPH-06"
"P 2h 8h - 22h LUN À SAM"|"OUT-SPH-07"
"P 2h 8h A 22h LUN, 8h A 22h MAR et 8h A 19h MER"|"OUT-SPH-08"
"P 2h 19h A 22h MER, 8h A 22h JEU et 8h A 19h VEN"|"OUT-SPH-09"
"P 2h 19h A 22h MER, 8h À 22h JEU. 8h A 22h VEN, 8h A 22h SAM et 8h A 19h DIM"|"OUT-SPH-10"
"P 4h 8h - 19h LUN À VEN"|"OUT-SPH-12"
"P 15 min 7h - 9h et 16h - 18h lun à ven"|"OUT-SPM-01-A"
"P 15 MIN 7h-9h30 15h30-18h LUN À VEN"|"OUT-SPM-01-B"
"P 15 MIN 7h30 - 9h et 15h - 18h LUN À VEN"|"OUT-SPM-02"
"P 15 MIN 7h30 - 9h et 15h30 - 18h LUN À VEN"|"OUT-SPM-03"
"P 15 MIN 7h30 - 9h et 16h - 18h LUN À VEN"|"OUT-SPM-04"
"P 15 MIN 7h30 - 9h30 et 15h -18h LUN À VEN"|"OUT-SPM-05"
"p 15 min 7h30 - 9h30 et 15h - 18h30 lun à ven"|"OUT-SPM-05-1"
"P 15 MIN 8h - 9h et 15h - 17h LUN À VEN"|"OUT-SPM-06"
"p 15 min 8h à 9h et 16h30 - 17h30 lun à ven"|"OUT-SPM-06-2"
"P 15 MIN 8h - 9h30 16h - 18h30 LUN À VEN"|"OUT-SPM-07"
"p15 min 8h15 - 8h45 et 14h45 - 15h15 lun à ven"|"OUT-SPM-07-1"
"P 15 MIN 7h30 - 18h LUN À VEN"|"OUT-SPM-08"
"P 15 MIN 8h30 - 17h30 JOURS D'ÉCOLE"|"OUT-SPM-10"
"P 15 MIN 16h - 18h LUN À VEN"|"OUT-SPM-11"
"P 15 MIN"|"OUT-SPM-13"
"P 15 MIN 15h - 16h LUN À VEN JOURS D'ÉCOLE"|"OUT-SPM-14"
"P 15 MIN 8h - 18h LUN À VEN JOURS D'ÉCOLE"|"OUT-SPM-15"
"P 15 MIN 8h - 18h"|"OUT-SPM-16"
"P 30 MIN 7h - 10h et 15h - 18h LUN À VEN"|"OUT-SPN-01"
"P 30 MIN 7h - 18h LUN À VEN"|"OUT-SPN-02"
"P 30 MIN 8h - 10h et 15h30 - 17h30 LUN À VEN"|"OUT-SPN-03"
"P 30 MIN 8h - 18h LUN À VEN"|"OUT-SPN-04"
"P 30 MIN 8h - 22h"|"OUT-SPN-05"
"P 30 MIN 8h30 - 17h LUN À VEN"|"OUT-SPN-06"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 19h LUNDI AU MERCREDI"|"OUT-SRV-01"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h"|"OUT-SRV-02"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 10h - 24h"|"OUT-SRV-03"
"\p excepté détenteurs de permis secteur 142 10h - 24h"|"OUT-SRV-03-1S"
"\p réservé détenteurs de permis secteur 152 10h - 24h"|"OUT-SRV-03-2S"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 17h - 24h"|"OUT-SRV-04"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h -22h LUN. AU VEN"|"OUT-SRV-05"
"P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h"|"OUT-SRV-06"
"P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h LUN. AU SAM."|"OUT-SRV-07"
"P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h LUN. AU MER."|"OUT-SRV-08"
"P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h JEU. AU DIM."|"OUT-SRV-09"
"PANONCEAU EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX"|"OUT-SRV-10"
"panonceau excepté détenteurs de permis secteur 142"|"OUT-SRV-10-1S"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 24h"|"OUT-SRV-11"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h JEUDI AU DIMANCHE"|"OUT-SRV-12"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h LUNDI AU MERCREDI"|"OUT-SRV-13"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 19h JEUDI AU DIMANCHE"|"OUT-SRV-14"
"\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 18h - 24h "|"OUT-SRV-15"
"ANNULE - REMPLACER PAR PX-AD"|"P-AD"
"ANNULE - REMPLACER PAR PX-AP"|"P-AP"
"ANNULE - PANONCEAU PERIODE D'ENTRETIEN EXCEPTEE"|"P-EE"
"ANNULE - REMPLACER PAR PX-HD"|"P-HD"
"ANNULE - REMPLACER PAR PX-LS"|"P-LS"
"ANNULE - REMPLACER PAR PX-LV"|"P-LV"
"ANNULE - REMPLACER PAR PX-PH"|"P-PH"
"ANNULE - REMPLACE PAR PX-PR"|"P-PR"
"PANONCEAU PETITES VOITURES SEULEMENT"|"P-PV"
"ANNULE - REMPLACER PAR PX-TI"|"P-TI"
"ANNULE - REMPLACE PAR P-ZT"|"P-ZR"
"ANNULE   -    (ZONE SCOLAIRE FOND BLEU)"|"PA-A"
"ANNULE    -     (ZONE SCOLAIRE FOND BLEU)"|"PA-A-10"
"ZONE SCOLAIRE (FOND JAUNE FLUO) (venant de la droite)"|"PA-A-FL"
"ZONE SCOLAIRE (FOND JAUNE FLUO) (venant de la droite)"|"PA-A-FL-10"
"ZONE SCOLAIRE (FOND JAUNE FLUO) (venant de la droite)"|"PA-A-FL-20"
"AUTOCOL. \P 8h30-9h30 LUN ET JEU 1 MARS AU 1 DEC."|"PA-AP"
"PRE-SIGNAL PASSAGE DE PIETONS"|"PA-B"
"PRE-SIGNAL TERRAIN DE JEUX"|"PA-C"
"PRE-SIGNAL TERRAIN DE JEUX"|"PA-C-0"
"PRE-SIGNAL TERRAIN DE JEUX"|"PA-D"
"PRE-SIGNAL PASSAGE DE PIETONS ET CYCLISTES"|"PA-E"
"PRE-SIGNAL PASSAGE DE PIETONS"|"PA-F"
"PRE-SIGNAL PASSAGE DE PERSONNES HANDICAPEES"|"PA-G"
"PRE-SIGNAL PASSAGE DE PERSONNES HANDICAPEES"|"PA-H"
"PRE-SIGNAL PASSAGE DE PIETONS ET CYCLISTES"|"PA-I"
"PRE-SIGNAL PASSAGE DE CYCLISTES (GAUCHE)"|"PA-J"
"PRE-SIGNAL PASSAGE DE CYCLISTES (DROITE)"|"PA-K"
"ANNULE"|"PA-LA"
"ANNULE"|"PA-LB"
"AUTOCOL. \P RESERVE S3R 18h-23h"|"PA-PA"
"PRE-SIGNAL ZONE DE SOURDS"|"PA-S"
"PRE-SIGNAL PASSAGE DE SOURDS"|"PA-S-1"
"AUTOCOL. \P RESERVE HANDICAPES"|"PA-TD"
"ANNULE PRE-SIGNAL PASSAGE D'AVEUGLES"|"PA-V"
"ANNULE PRE-SIGNAL ZONE D'AVEUGLES"|"PA-V-1"
