"CODE_RPA","DESCRIPTION_RPA"
"LAC-46","\P 9H @ 12H MERCREDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-47","\P 9H @ 16H MERCREDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-48","\P 9H @ 16H JEUDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-49","\P 7H @ 17H LUN AU VEN"
"LAC-5","\P RÉSERVÉ FAMILLE NOMBREUSE"
"LAC-50","\P D'ICI AU COIN"
"LAC-51","\P (FLÈCHE SEULEMENT)"
"LAC-52","\P (STATIONNEMENT INTERDIT)"
"LAC-53","\P RÈGL. 2027"
"LAC-55","\P 9H @ 16H VEN-SAM-DIM"
"LAC-56","\P 9H @ 16H LUN-MAR-MER-JEU"
"LAC-57","\P 9H @ 18H"
"LAC-58","\P 18H @ 9H"
"LAC-59","\P 15 AVRIL AU 15 OCTOBRE"
"LAC-62","\CAMION EXCEPTÉ LIVRAISON LOCALE"
"LAC-63","\ CHIEN INTERDIT"
"LAC-64","\CHIEN INTERDIT PARC"
"LAC-66","TRAVERSE DE PIÉTON"
"LAC-7","\P RÉSERVÉ PERSONNE HANDICAPÉE"
"LAC-70","TRAVERSE POUR ENFANTS PRÈS DES PARCS"
"LAC-74","AVIS DE PRIORITÉ AUX PIÉTONS AVEC AMENDE"
"LAC-75","PANCARTE ZONE D'ÉCOLE (JAUNE)"
"LAC-8","\ARRÊT INTERDIT ZONE D'AUTOBUS"
"LAC-9","PANNEAU STM"
"LD-DH","PANNEAU ANNULE"
"LD-TA","PANNEAU ANNULE"
"LO-GO-F","PARC-LOGO VILLE - INSTALLER SUR FUT CARRE 12'(CODE_RPA 3-1)"
"LS-JN","PANNEAU ANNULE"
"LS-JR","PANNEAU ANNULE"
"LS-JT","PANNEAU ANNULE"
"LV-JN","PANNEAU ANNULE"
"NR-R","NOM DE RUE DU VIEUX MTL - 1 FACE  (POUR BATIMENT)"
"NR-RV","NOM DE RUE DU VIEUX MTL - 2 FACES (POUR LAMPADAIRE)"
"NR-U","Toponyme"
"ORI-SUPP","ORIFLAMME"
"ORI-SUPP1","ORIFLAMME"
"OUT-A-01","CENTRE COMMUNAUTAIRE INTERGENERATIONNEL"
"OUT-A-02","BIBLIOTHEQUE GALERIE D'ART"
"OUT-A-03","THEATRE OUTREMONT 0.8"
"OUT-A-04","THEATRE OUTREMONT 1.4"
"OUT-A-05","THEATRE OUTREMONT 1.5"
"OUT-A-06","P THEATRE OUTREMONT"
"OUT-A-08","FACULTE DE MUSIQUE (UdeM)"
"OUT-A-09","UNIVERSITE DE MONTREAL - HEC HOPITAL SAINTE-JUSTINE | COTE-DES-NEIGES VIA CHEMIN BATES"
"OUT-A-10","ACHEMINEMENT BATES, VILLE MONT-ROYAL"
"OUT-A-11","VIADUC VIA CHEMIN BATES"
"OUT-A-12","VIA BATES ET VAN HORNE"
"OUT-A-13","ACHEMINEMENT No 30 AGE D'OR"
"OUT-A-14","ACHEMINEMENT 32, AV. ST-JUST"
"OUT-A-15","ACHEMINEMENT AVENUE MAPLEWOOD ET AVENUE SPRINGGROVE"
"OUT-A-16","ACHEMINEMENT CHEMIN DE LA FORET"
"OUT-A-17","ACHEMINEMENT BOULEVARD MONT-ROYAL DIRECTION OUEST"
"OUT-A-18","ACHEMINEMENT CIMETIERE MONT-ROYAL COMPLEXE FUNERAIRE MONT-ROYAL"
"OUT-AD-15","\A ARRET D'AUTOBUS"
"OUT-ADN-01","\A 7h - 7h30 LUNDI 1er AVRIL - 30 NOV"
"OUT-ADN-02","\A 7h - 8h LUNDI 1er AVRIL - 30 NOV"
"OUT-ADN-04","\A 10h -12h LUNDI 1er AVRIL - 30 NOV"
"OUT-ADN-07","\A 10h -12h MARDI 1er AVRIL - 30 NOV"
"OUT-ADN-08","\A 6h -8h MERCREDI 1er AVRIL - 30 NOV"
"OUT-ADN-10","\A 8h -10h MERCREDI 1er AVRIL - 30 NOV"
"OUT-ADN-11","\A 6h -8h JEUDI 1er AVRIL - 30 NOV"
"OUT-ADN-12","\A 7h - 8h JEUDI 1er AVRIL - 30 NOV"
"OUT-ADN-12-1","\A 7h - 7h30 JEUDI 1er AVRIL - 30 NOV"
"OUT-ADN-14","\A 7h - 7h30 VENDREDI 1er AVRIL - 30 NOV"
"OUT-ADN-16","\A 8h - 10h VENDREDI 1er AVRIL - 30 NOV"
"OUT-ADN-17","\A 10h - 12h VENDREDI 1er AVRIL - 30 NOV"
"OUT-ADN-18","\A 14h - 16h VENDREDI 1er AVRIL - 30 NOV"
"OUT-ADN-19","\A 7h - 8h LUN et  MER 1er AVRIL - 30 NOV"
"OUT-ADN-20","\A 8h - 9h LUN et MER 1er AVRIL - 30 NOV"
"OUT-ADN-21","\A 6h30 - 9h LUN et JEU 1er AVRIL - 30 NOV"
"OUT-ADN-22","\A 8h - 9h LUN et JEU 1er AVRIL - 30 NOV"
"OUT-ADN-23","\A 7h - 8h MAR et JEU 1er AVRIL - 30 NOV"
"OUT-ADN-24","\A 8h - 9h MAR et JEU 1er AVRIL - 30 NOV"
"OUT-ADN-25","\A 6h30 - 9h MAR et VEN 1er AVRIL - 30 NOV"
"OUT-ADN-27","\A 8h - 9h MER ET VEN 1er AVRIL - 30 NOV"
"OUT-ADP-01","\A 7h - 9h LUN À VEN"
"OUT-ADP-03","\A 15h30 - 18h LUN À VEN"
"OUT-ADP-04","\A EN TOUT TEMPS SUR 5m"
"OUT-ADP-05","\A 8h - 9h et 16h - 17h LUN À VEN"
"OUT-ADP-06","\A 8h-17h LUNDI À SAMEDI"
"OUT-D-01","OUTREMONT"
"OUT-D-02","OUTREMONT, STYLE 2"
"OUT-D-03","ATTENTION A NOS ENFANTS"
"OUT-D-04","VILLE JUMELEE AVEC LE VESINET OAKWOOD"
"OUT-D-05","PRIERE DE NE PAS KLAXONNER PLEASE REFRAIN FROM HONKING"
"OUT-D-06","TEMPS D'ATTENTE PROLONGE S.V.P ATTENDRE LE FEU VERT"
"OUT-D-08","ATTENTION URGENCE INCENDIE"
"OUT-D-09","ATTENTION SORTIE URGENCE INCENDIE"
"OUT-D-10","IL EST INTERDIT DE FLANER DANS CET ESCALIER"
"OUT-D-11","SORTIE DE GARAGE"
"OUT-D-12","PIÉTONS PRESSEZ LE BOUTON"
"OUT-D-14","ATTENTION À NOS AÎNÉS (fond blanc)"
"OUT-D-15","ATTENTION À NOS AÎNÉS (fond jaune)"
"OUT-D-16","Mini-radar (afficheur de vitesse)"
"OUT-D-18","Panonceau limite de vitesse 40 km/h pour mini-radar (afficheur de vitesse)"
"OUT-D-19","Période de tarification - stationnement hors-rue n° 1 - viaduc Rockland"
"OUT-D-20","Espace réservé - Sécurité publique"
"OUT-D-21","Espace réservé - Directeur Sécurité publique"
"OUT-NMP-05","PARC IRMA-LEVASSEUR"
"OUT-NP-02","PARC CANIN"
"OUT-NP-03","PARC DE VIMY"
"OUT-NP-04","PLACE DELIA-TETREAULT"
"OUT-NP-05","PARC DUNLOP"
"OUT-NP-06","PARC GARNEAU"
"OUT-NP-07","PARC JOHN F. KENNEDY"
"OUT-NP-08","PARC JOYCE"
"OUT-NP-11","PARC OUTREMONT"
"OUT-NP-13","PARC SAINT-VIATEUR"
"OUT-NP-16","PARC IRMA-LEVASSEUR"
"OUT-PP-01","INTERDICTION DE VOITURE CONTRAVENTION 50$  | PRESCRIPTION DE DEBARQUER DE SON VELO CONTRAVENTION 100$  | INTERDICTION DE CHIEN CONTRAVENTION 100$ |  HEURES D'OUVERTURE DU PARC 7h - 23h contravention 300$ TE"
"OUT-PP-02","INTERDICTION DE VELOS ET DE CHIENS"
"OUT-PP-03","INTERDICTION DE VELOS ET DE CHIENS, STYLE 2"
"OUT-PP-04","HEURES D'OUVERTURE 7h - 23h"
"OUT-PP-05","Interdiction de laisser les chiens déféquer"
"OUT-PP-07","Obligation de jeter les papiers à la poubelle"
"OUT-PR-01","A OUTREMONT LA VITESSE LIMITE EST DE 40 KM/H \P REMORQUAGE"
"OUT-PR-02","SAUF AUTOBUS POUR EVENEMENTS SPECIAUX 7h00 - 21h30"
"OUT-PR-03","RI-B AVEC ROCKLAND"
"OUT-PR-04","RI-C AVEC DAVAAR"
"OUT-PR-05","RI-C AVEC JEAN-TALON"
"OUT-PR-06","VITESSE RECOMMANDE de 15 km/h"
"OUT-PR-07","RALENTIR"
"OUT-PR-08","LENTEMENT"
"OUT-PR-10","16h A 19h"
"OUT-PR-12","PANNONCEAU AMENDE !48$ et 3 POINTS"
"OUT-PR-13","COLLECTE DES ORDURES MENAGERES LUNDI JEUDI DEPOT DES ORDURES MENAGERES LE JOUR DE LA COLLECTE SEULEMENT, ENTRE 5h30 et 8h."
"OUT-PR-14","RADAR"
"OUT-PR-15","SENS UNIQUE ESCALIER VERS COTE-SAINTE-CATHERINE"
"OUT-PR-16","PISTE CYCLABLE 01 AVR. - 15 NOV."
"OUT-PR-17","accès interdit aux autobus scolaires"
"OUT-PR-18","Interdiction d'attacher les vélos (100 mm x 100 mm)"
"OUT-PR-19","Arrêt dépliant"
"OUT-PR-20","excepté autobus scolaires"
"OUT-SC-15","\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV | P DEBARCADERE MAX 15 min."
"OUT-SC-16","\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV | P MAX 2h 8h - 22h LUN. AU VEN."
"OUT-SC-19","\P 19h DIMANCHE À 19h MERCREDI | P DÉBARCADÈRE MAX 15 min.19h MERCREDI À 19h DIMANCHE"
"OUT-SC-21","\P 9h - 11h MERCREDI 1ER AVRIL - 30 NOV | P DEBARCADERE MAX 15 min. 7h30 - 18h LUN. AU VEN."
"OUT-SD-42","\P RESERVE CORPS DIPLOMATIQUE \P 8h - 12h JEUDI 1ER AVRIL - 30 NOV"
"OUT-SDA-01","\P 19h DIMANCHE A 19h MERCREDI"
"OUT-SDA-02","\P 19h MERCREDI A 19h DIMANCHE"
"OUT-SDA-02-A","P\   19h mercredi à 19h dimanche   30 nov - 1er avril"
"OUT-SDA-03","\P 8h JEUDI A 8h LUNDI"
"OUT-SDA-04","\P 8h LUNDI A 8h JEUDI"
"OUT-SDA-05","\P 9h - 17h LUNDI MARDI MERCREDI"
"OUT-SDA-06","\P 9h - 17h JEUDI VENDREDI"
"OUT-SDE-01","\P EXCEPTE AUTOBUS SCOLAIRE"
"OUT-SDE-02","\P 7h30 - 16h LUN À VEN EXCEPTE AUTOBUS SCOLAIRE "
"OUT-SDE-06","\P 8h - 16h JOURS D'ECOLE EXCEPTE AUTOBUS SCOLAIRES"
"OUT-SDE-07","\P 8h - 18h LUN À VEN EXCEPTE AUTOBUS SCOLAIRE "
"OUT-SDE-08","\P 7h30 - 8h30 et 15h - 16h30 JOURS D'ECOLE"
"OUT-SDE-08-A","\P 7h30 - 9h30 et 14h30 - 16h LUN À VEN EXCEPTE AUTOBUS SCOLAIRES"
"OUT-SDE-10","\P 8h - 10h et 15h - 17h LUN À VEN EXCEPTE AUTOBUS SCOLAIRE "
"OUT-SDE-10-1","\p 8h - 10h et 14h - 17h30 lun à ven excepté autobus scolaire"
"OUT-SDE-10-B","\P 8h-10h et 14h-16h LUN A VEN EXCEPTE AUTOBUS SCOLAIRE"
"OUT-SDE-11-A","\P 8h30 - 10h30 et 14h - 16h lun à jeu 8h30-10h et 12h - 13h vendredi excepté autobus scolaire"
"OUT-SDE-13","\P ZONE D'ATTENTE MAX 5 MIN 8h - 10h ET 15h30 -17h30 LUN À VEN"
"OUT-SDE-14","\P 8h - 8h30 ET 14h45 - 15h30 LUNDI AU VENDREDI EXCEPTE AUTOBUS SCOLAIRE"
"OUT-SDL-02","\P 8h - 18h LUN À SAM EXCEPTE LIVRAISON "
"OUT-SDL-03","\P 8h - 16h LUN À VEN EXCEPTE LIVRAISON "
"OUT-SDL-04","\P EXCEPTE LIVRAISON 8h - 16h LUN À VEN"
"OUT-SDL-05","\P 8h - 16h MAR À SAM EXCEPTÉ LIVRAISON"
"OUT-SDL-06","\P 8h -17h LUN À VEN EXCEPTÉ LIVRAISON"
"OUT-SDL-06-A","\P 8h-14h LUN A VEN EXCEPTE LIVRAISON"
"OUT-SDN-01","\P 8h - 10h LUNDI 1er AVRIL - 30 NOV"
"OUT-SDN-02","\P 8h - 12h LUNDI 1ER AVRIL - 30 NOV "
"OUT-SDN-04","\P 12h - 16h LUNDI 1ER AVRIL - 30 NOV"
"OUT-SDN-04-1","\P 13h - 15h LUNDI 1er AVRIL - 30 NOV"
"OUT-SDN-05","\P 8h - 12h MARDI 1ER AVRIL - 30 NOV"
"OUT-SDN-05-1","\P 10h - 12h MARDI 1er AVRIL - 30 NOV"
"OUT-SDN-05-2","\P 9h - 12h MARDI 1er AVRIL - 30 NOV"
"OUT-SDN-06","\P 12h - 16h MARDI 1ER AVRIL - 30 NOV"
"OUT-SDN-06-1","\P 13h - 15h MARDI 1er AVRIL - 30 NOV"
"OUT-SDN-07","\P 8h - 10h MERCREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-08","\P 8h - 12h MERCREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-09-1","\P 10h - 12h MERCREDI 1er AVRIL - 30 NOV"
"OUT-SDN-10","\P 12h - 16h MERCREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-10-1","\P 13h - 15h MERCREDI 1er AVRIL - 30 NOV"
"OUT-SDN-11","\P 8h - 10h JEUDI 1ER AVRIL - 30 NOV"
"OUT-SDN-12","\P 8h - 12h JEUDI 1ER AVRIL - 30 NOV"
"OUT-SDN-13-1","\P 10h - 12h JEUDI 1er AVRIL - 30 NOV"
"OUT-SDN-14","\P 12h - 16h JEUDI 1ER AVRIL - 30 NOV"
"OUT-SDN-14-1","\P 13h - 15h JEUDI 1er AVRIL - 30 NOV"
"OUT-SDN-14-2","\P 14h - 16h JEUDI 1ER AVRIL - 30 NOV"
"OUT-SDN-15","\P 7h - 9h VENDREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-17","\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-17-1","\P 9h - 12h VENDREDI 1er AVRIL - 30 NOV"
"OUT-SDN-18","\P 10h - 12h VENDREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-19","\P 12h - 15h VENDREDI 1ER AVRIL - 30 NOV"
"OUT-SDN-20","\P 12h - 16h VENDREDI 1ER AVRIL - 30 NOV"
"OUT-SDP-03","\P 8h - 9h et 16h - 17h LUN À VEN"
"OUT-SDP-04","P\   9h - 22h"
"OUT-SDP-05","P\   10h - 24h lundi - mardi et 10h - 19h mercredi"
"OUT-SDP-06","P\   10h - 24h jeudi au samedi et 10h - 19h dimanche"
"OUT-SDS-01","\P 1ER AVRIL - 30 NOV"
"OUT-SDS-02","\P 30 NOV - 1ER AVRIL"
"OUT-SDS-03","P\   8h - 24h  30 nov - 1er avril"
"OUT-SDX-04","\P EXCEPTE 2h 10h - 12h LUN À VEN, 16h30 -18h30 SAMEDI ET 8h30 - 13h DIMANCHE"
"OUT-SDX-05","\P EXCEPTE VISITEURS POSTE DE POLICE DE QUARTIER N024"
"OUT-SDX-06","\P EXCEPTE VEHICULES DU SERVICE DE LA SECURITE PUBLIQUE"
"OUT-SDX-07","\P 7h - 24h EXCEPTE VISITEURS COURS MUNICIPALE SECURITE PUBLIQUE"
"OUT-SDX-09","\P EXCEPTE 8h - 12h JEUDI 1er AVRIL - 30 NOV "
"OUT-SDX-10","\P EXCEPTE 8h - 12h LUNDI 1er AVRIL - 30 NOV"
"OUT-SDX-11"," \P EXCEPTE DEBARCADERE 15 MIN"
"OUT-SDX-12","P\ excepté motos  1er avril - 30 nov"
"OUT-SDX-13","\P excepté handicapés 10h - 16h"
"OUT-SDX-14","\P de 8h à 12h du lundi au vendredi 1 avril au 30 nov. excepté véhicules municipaux"
"OUT-SPH-01","P 2h 8h - 19h LUNDI, MARDI et MERCREDI"
"OUT-SPH-02","P 2h 8h - 19h JEUDI et VENDREDI"
"OUT-SPH-02-A","P 2h 8h-19h"
"OUT-SPH-05","P 2h 8h - 22h LUN À VEN"
"OUT-SPH-06","P 2h 8h - 20h LUN À SAM"
"OUT-SPH-07","P 2h 8h - 22h LUN À SAM"
"OUT-SPH-08","P 2h 8h A 22h LUN, 8h A 22h MAR et 8h A 19h MER"
"OUT-SPH-09","P 2h 19h A 22h MER, 8h A 22h JEU et 8h A 19h VEN"
"OUT-SPH-10","P 2h 19h A 22h MER, 8h À 22h JEU. 8h A 22h VEN, 8h A 22h SAM et 8h A 19h DIM"
"OUT-SPH-12","P 4h 8h - 19h LUN À VEN"
"OUT-SPM-01-A","P 15 min 7h - 9h et 16h - 18h lun à ven"
"OUT-SPM-01-B","P 15 MIN 7h-9h30 15h30-18h LUN À VEN"
"OUT-SPM-02","P 15 MIN 7h30 - 9h et 15h - 18h LUN À VEN"
"OUT-SPM-03","P 15 MIN 7h30 - 9h et 15h30 - 18h LUN À VEN"
"OUT-SPM-04","P 15 MIN 7h30 - 9h et 16h - 18h LUN À VEN"
"OUT-SPM-05","P 15 MIN 7h30 - 9h30 et 15h -18h LUN À VEN"
"OUT-SPM-05-1","p 15 min 7h30 - 9h30 et 15h - 18h30 lun à ven"
"OUT-SPM-06","P 15 MIN 8h - 9h et 15h - 17h LUN À VEN"
"OUT-SPM-06-2","p 15 min 8h à 9h et 16h30 - 17h30 lun à ven"
"OUT-SPM-07","P 15 MIN 8h - 9h30 16h - 18h30 LUN À VEN"
"OUT-SPM-07-1","p15 min 8h15 - 8h45 et 14h45 - 15h15 lun à ven"
"OUT-SPM-08","P 15 MIN 7h30 - 18h LUN À VEN"
"OUT-SPM-10","P 15 MIN 8h30 - 17h30 JOURS D'ÉCOLE"
"OUT-SPM-11","P 15 MIN 16h - 18h LUN À VEN"
"OUT-SPM-13","P 15 MIN"
"OUT-SPM-14","P 15 MIN 15h - 16h LUN À VEN JOURS D'ÉCOLE"
"OUT-SPM-15","P 15 MIN 8h - 18h LUN À VEN JOURS D'ÉCOLE"
"OUT-SPM-16","P 15 MIN 8h - 18h"
"OUT-SPN-01","P 30 MIN 7h - 10h et 15h - 18h LUN À VEN"
"OUT-SPN-02","P 30 MIN 7h - 18h LUN À VEN"
"OUT-SPN-03","P 30 MIN 8h - 10h et 15h30 - 17h30 LUN À VEN"
"OUT-SPN-04","P 30 MIN 8h - 18h LUN À VEN"
"OUT-SPN-05","P 30 MIN 8h - 22h"
"OUT-SPN-06","P 30 MIN 8h30 - 17h LUN À VEN"
"OUT-SRV-01","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 19h LUNDI AU MERCREDI"
"OUT-SRV-02","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h"
"OUT-SRV-03","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 10h - 24h"
"OUT-SRV-03-1S","\p excepté détenteurs de permis secteur 142 10h - 24h"
"OUT-SRV-03-2S","\p réservé détenteurs de permis secteur 152 10h - 24h"
"OUT-SRV-04","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 17h - 24h"
"OUT-SRV-05","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h -22h LUN. AU VEN"
"OUT-SRV-06","P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h"
"OUT-SRV-07","P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h LUN. AU SAM."
"OUT-SRV-08","P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h LUN. AU MER."
"OUT-SRV-09","P DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h - 22h JEU. AU DIM."
"OUT-SRV-10","PANONCEAU EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX"
"OUT-SRV-10-1S","panonceau excepté détenteurs de permis secteur 142"
"OUT-SRV-11","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 24h"
"OUT-SRV-12","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h JEUDI AU DIMANCHE"
"OUT-SRV-13","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h LUNDI AU MERCREDI"
"OUT-SRV-14","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 8h - 19h JEUDI AU DIMANCHE"
"OUT-SRV-15","\P EXCEPTÉ DETENTEURS DE PERMIS SECTEUR XX 18h - 24h "
"P-AD","ANNULE - REMPLACER PAR PX-AD"
"P-AP","ANNULE - REMPLACER PAR PX-AP"
"P-EE","ANNULE - PANONCEAU PERIODE D'ENTRETIEN EXCEPTEE"
"P-HD","ANNULE - REMPLACER PAR PX-HD"
"P-LS","ANNULE - REMPLACER PAR PX-LS"
"P-LV","ANNULE - REMPLACER PAR PX-LV"
"P-PH","ANNULE - REMPLACER PAR PX-PH"
"P-PR","ANNULE - REMPLACE PAR PX-PR"
"P-PV","PANONCEAU PETITES VOITURES SEULEMENT"
"P-TI","ANNULE - REMPLACER PAR PX-TI"
"P-ZR","ANNULE - REMPLACE PAR P-ZT"
"PA-A","ANNULE   -    (ZONE SCOLAIRE FOND BLEU)"
"PA-A-10","ANNULE    -     (ZONE SCOLAIRE FOND BLEU)"
"PA-A-FL","ZONE SCOLAIRE (FOND JAUNE FLUO) (venant de la droite)"
"PA-A-FL-10","ZONE SCOLAIRE (FOND JAUNE FLUO) (venant de la droite)"
"PA-A-FL-20","ZONE SCOLAIRE (FOND JAUNE FLUO) (venant de la droite)"
"PA-AP","AUTOCOL. \P 8h30-9h30 LUN ET JEU 1 MARS AU 1 DEC."
"PA-B","PRE-SIGNAL PASSAGE DE PIETONS"
"PA-C","PRE-SIGNAL TERRAIN DE JEUX"
"PA-C-0","PRE-SIGNAL TERRAIN DE JEUX"
"PA-D","PRE-SIGNAL TERRAIN DE JEUX"
"PA-E","PRE-SIGNAL PASSAGE DE PIETONS ET CYCLISTES"
"PA-F","PRE-SIGNAL PASSAGE DE PIETONS"
"PA-G","PRE-SIGNAL PASSAGE DE PERSONNES HANDICAPEES"
"PA-H","PRE-SIGNAL PASSAGE DE PERSONNES HANDICAPEES"
"PA-I","PRE-SIGNAL PASSAGE DE PIETONS ET CYCLISTES"
"PA-J","PRE-SIGNAL PASSAGE DE CYCLISTES (GAUCHE)"
"PA-K","PRE-SIGNAL PASSAGE DE CYCLISTES (DROITE)"
"PA-LA","ANNULE"
"PA-LB","ANNULE"
"PA-PA","AUTOCOL. \P RESERVE S3R 18h-23h"
"PA-S","PRE-SIGNAL ZONE DE SOURDS"
"PA-S-1","PRE-SIGNAL PASSAGE DE SOURDS"
"PA-TD","AUTOCOL. \P RESERVE HANDICAPES"
"PA-V","ANNULE PRE-SIGNAL PASSAGE D'AVEUGLES"
"PA-V-1","ANNULE PRE-SIGNAL ZONE D'AVEUGLES"
"PA-W","PRE-SIGNAL ZONE SCOLAIRE (PASSAGE D'ECOLIERS)"
"PA-W-10","PRE-SIGNAL ZONE SCOLAIRE + GRAND (PASSAGE D'ECOLIERS)"
"PA-W-FL","PRE-SIGNAL ZONE SCOLAIRE COULEUR JAUNE FLUO"
"PA-W-FL-10","PRE-SIGNAL ZONE SCOLAIRE COULEUR JAUNE FLUO"
"PA-W-FL10","PRE-SIGNAL ZONE SCOLAIRE + GRAND (PASSAGE D'ECOLIERS) COULEUR FLUO"
"PA-X","PRE-SIGNAL ZONE SCOLAIRE (PASSAGE D'ECOLIERS)"
"PA-X-1","PRE-SIGNAL ZONE D'AVEUGLES POUR PLACER A DROITE"
"PA-X-2","PRE-SIGNAL ZONE D'AVEUGLES POUR PLACER A GAUCHE"
"PA-X-FL","PRE-SIGNAL ZONE SCOLAIRE COULEUR FLUO"
"PA-X-FL-10","PRE-SIGNAL ZONE SCOLAIRE COULEUR JAUNE FLUO"
"PA-X-FL10","PRE-SIGNAL ZONE SCOLAIRE + GRAND (PASSAGE D'ECOLIERS)"
"PA-Y-FL","ZONE SCOLAIRE (JAUNE FLUO) (venant de la gauche) (600x600)"
"PA-Y-FL-10","ZONE SCOLAIRE (JAUNE FLUO) (venant de la gauche) (750x750)"
"PB-A-1","PASSAGE ECOLIERS"
"PB-A-2","PASSAGE ECOLIERS"
"PB-AA","PASSAGE ECOLIERS AERIEN"
"PB-AB","PASSAGE PIETONS AERIEN"
"PB-AC","PASSAGE ENFANTS (TERRAIN DE JEUX) AERIEN"
"PB-AF","PASSAGE PIETONS ET CYCLISTES AERIEN"
"PB-B-1","PASSAGE PIETONS"
"PB-B-2","PASSAGE PIETONS"
"PB-B-3","ANNULE PASSAGE PIETONS AERIEN"
"PB-C-1","PASSAGE TERRAIN DE JEUX"
"PB-C-2","PASSAGE TERRAIN DE JEUX"
"PB-E-1","PASSAGE POUR PIETONS ET CYCLISTES"
"PB-E-2","PASSAGE POUR PIETONS ET CYCLISTES"
"PB-F-1","ANNULE       (PASSAGE DE CAMIONS)"
"PB-H-1","PASSAGE D'HANDICAPES"
"PB-H-2","PASSAGE D'HANDICAPES"
"PB-JA","P 02h 09h-21h SAMEDI ET DIMANCHE"
"PB-JB","P 15 min. 09h-15h MAR. MER."
"PB-JC","P 60 min. 09h-17h LUNDI ET JEUDI"
"PB-JD","P 2h 09h-17h MAR ET VEN"
"PB-S-1","PASSAGE DE SOURDS"
"PB-S-2","PASSAGE DE SOURDS"
"PB-V-1","ANNULE          (PASSAGE D'AVEUGLES)"
"PB-X-1","PASSAGE D'AVEUGLES POUR PLACER A DROITE"
"PB-X-2","PASSAGE D'AVEUGLES POUR PLACER A GAUCHE"
"PC-AA","AUTOCOL. H.D'USAGE L. MAR. MER. SAM. 09h-18h JEU. VEN."
"PC-AB","AUTOCOL. H.D'USAGE L. MAR. MER. SAM. 09h30-18h JEU. V."
"PC-AP","AUTOCOL. \P 8h30-9h30 LUN ET JEU 1 MARS AU 1 DEC."
"PC-BA","AUTOCOL. H.D'USAGE 07h-22h"
"PC-TA","P 03h LUN ET MAR  JEU ET VEN"
"PD-AC","P STAT. A 45 cm DE LA BORDURE - 1er MARS 1er DEC."
"PD-AD","P STAT. A 45 cm DE LA BORDURE - 15 AVRIL AU 1er NOV."
"PD-AD-A","P STAT. A 45 cm DE LA BORDURE - 1er AVRIL AU 1er DEC."
"PD-DA","P 15 min RESERVE AUTOBUS"
"PD-DS","ANNULE P DEBARCADERE SEULEMENT (REMPLACE PAR PD-DU)"
"PD-DT","P 15 min"
"PD-DU","P DEBARCADERE"
"PD-DV","P DEBARCADERE 7h-18h30"
"PD-JA","P 60 min 9h30-18h00"
"PD-JB","P 15 min 12h-16h SAM. DIM."
"PD-JC","P 02h 09h-20h"
"PD-JD","P 02h 09h-21h"
"PD-JE","P 02h 09h-18h"
"PD-JF","P 02h 08h-19h"
"PD-JG","P 60 min 09h-21h"
"PD-JH","P 15 min 09h-21h"
"PD-JI","P 02h 09h30-18h"
"PD-JJ","P 15 min.  7h - 18h"
"PD-JK","P 03h 08h-17h"
"PD-JL","P 15 min 07h-19h"
"PD-JM","P 15 min 07h-22h"
"PD-JN","P 2h 9h-23h"
"PD-NA","P 19h-08h"
"PD-NB","P RESERVE 21h-08h VEHICULES MUNIS D'UN PERMIS S3R"
"PD-OD","P 02h 08h-18h"
"PD-PA","P 60 min 12h-19h"
"PD-PC","P 60 min 13h-16h"
"PD-RC","P VELO"
"PD-TA","P A ANGLE"
"PD-TB","P 02h"
"PD-TD","P 15 MIN. RESERVE HOTEL"
"PD-TF","P EN FILE"
"PD-TQ","P 04h"
"PD-TR","P 03h"
